pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
ABNORMAL BEHAVIOUR,4,781,758,1009215,754,777,1007680,0.5866,7.6900,3.0527,19.3716,14.4920,7.7299,3.0518,19.5792,2.9376,1.6046,4.2706,True,True,True,3
VOMITING PROJECTILE,4,117,758,1009215,754,113,1008344,0.0879,52.6784,20.5900,134.7747,132.6035,52.9866,20.5991,136.2963,5.6712,4.3382,7.0042,True,True,True,3
URINARY TRACT INFECTION,3,7252,758,1009215,755,7249,1001208,5.4468,0.6415,0.2255,1.8249,0.7014,0.6398,0.2238,1.8290,-0.6391,-2.1506,0.8723,False,False,False,0
SEDATION COMPLICATION,3,292,758,1009215,755,289,1008168,0.2193,16.0633,5.6123,45.9756,23.7418,16.1331,5.6096,46.3983,3.9929,2.4814,5.5043,True,True,True,3
ANGER,4,507,758,1009215,754,503,1007954,0.3808,11.8749,4.7072,29.9570,25.5822,11.9397,4.7070,30.2860,3.5605,2.2275,4.8934,True,True,True,3
SOMNOLENCE,9,7867,758,1009215,749,7858,1000599,5.9087,1.6062,0.8535,3.0228,1.1462,1.6139,0.8507,3.0617,0.6840,-0.2334,1.6015,False,False,False,0
MANIA,6,678,758,1009215,752,672,1007785,0.5092,12.8421,5.9509,27.7137,48.9821,12.9444,5.9589,28.1190,3.6720,2.5629,4.7811,True,True,True,3
AGITATION,5,2915,758,1009215,753,2910,1005547,2.1894,2.5108,1.0910,5.7783,2.4474,2.5218,1.0892,5.8390,1.3277,0.1220,2.5334,False,True,True,2
ADVERSE DRUG REACTION,3,3309,758,1009215,755,3306,1005151,2.4853,1.4064,0.4942,4.0022,0.0001,1.4083,0.4925,4.0270,0.4928,-1.0187,2.0042,False,False,False,0
AMPHETAMINES POSITIVE,3,10,758,1009215,755,7,1008450,0.0075,620.0444,174.6885,2200.8033,827.7738,622.9123,174.7957,2219.8472,8.7928,7.2814,10.3043,True,True,True,3
BRAIN FOG,3,1614,758,1009215,755,1611,1006846,1.2122,2.8857,1.0135,8.2166,1.3712,2.8945,1.0116,8.2815,1.5283,0.0168,3.0397,False,True,True,2
OVERDOSE,4,8020,758,1009215,754,8016,1000441,6.0237,0.7458,0.2968,1.8743,0.3888,0.7443,0.2946,1.8808,-0.4218,-1.7547,0.9112,False,False,False,0
BLOOD CREATININE INCREASED,3,3489,758,1009215,755,3486,1004971,2.6205,1.3338,0.4687,3.7955,0.0056,1.3354,0.4670,3.8183,0.4163,-1.0951,1.9278,False,False,False,0
DROOLING,14,326,758,1009215,744,312,1008145,0.2449,61.6501,36.5902,103.8732,718.3444,62.8314,36.9308,106.8967,5.8848,5.1423,6.6274,True,True,True,3
INTESTINAL OBSTRUCTION,4,1568,758,1009215,754,1564,1006893,1.1777,3.8217,1.5191,9.6141,4.5900,3.8385,1.5175,9.7096,1.9326,0.5996,3.2655,True,True,True,3
PRURITUS,3,36091,758,1009215,755,36088,972369,27.1072,0.1289,0.0453,0.3665,21.3376,0.1248,0.0437,0.3568,-2.9542,-4.4657,-1.4428,False,False,False,0
DRUG INEFFECTIVE,22,55795,758,1009215,736,55773,952684,41.9064,0.5360,0.3567,0.8053,9.5200,0.5218,0.3430,0.7939,-0.8982,-1.4943,-0.3021,False,False,False,0
FEELING ABNORMAL,4,3400,758,1009215,754,3396,1005061,2.5537,1.7603,0.7003,4.4253,0.3521,1.7649,0.6982,4.4611,0.8162,-0.5168,2.1492,False,False,False,0
VISION BLURRED,24,5476,758,1009215,734,5452,1003005,4.1129,5.9702,4.0404,8.8217,91.9529,6.1360,4.0991,9.1850,2.5735,2.0022,3.1447,True,True,True,3
