pt,a,expected,ebgm_old,ebgm,eb05_old,eb05,n_methods_signal
DELUSION,8,1.3629,5.3410,5.6357,2.5696,3.0865,4
GASTROOESOPHAGEAL REFLUX DISEASE,42,7.3974,5.6277,5.6338,4.3220,4.3465,4
NAUSEA,365,64.8762,5.6215,5.6211,5.1534,5.1536,4
"HALLUCINATION, VISUAL",12,2.1023,5.4208,5.5590,3.1139,3.4039,4
ABNORMAL BEHAVIOUR,9,1.6469,5.0086,5.2929,2.5303,3.0013,4
HICCUPS,4,0.7092,4.3056,5.2566,1.4352,2.2479,4
ADVERSE EVENT,34,7.0497,4.7433,4.7899,3.5031,3.5883,4
MOVEMENT DISORDER,11,2.3227,4.3547,4.6438,2.3749,2.7815,4
EXTRAPYRAMIDAL DISORDER,4,0.8259,3.5975,4.5988,1.2629,1.9670,3
SEDATION,13,3.1576,3.7682,4.0689,2.1880,2.5408,4
HEART RATE INCREASED,35,9.0149,3.7640,3.8678,2.7773,2.9098,4
AGGRESSION,11,2.9748,3.2574,3.6618,1.8160,2.1934,4
INCREASED APPETITE,8,2.1733,3.0823,3.6339,1.5472,1.9905,3
AGITATION,16,4.3744,3.3575,3.6337,2.0914,2.3784,4
URINARY INCONTINENCE,8,2.1766,3.0770,3.6286,1.5451,1.9876,3
