pt,a,expected,n_drug,n_reaction,N,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ebgm,eb05,ebgm_Q,ic,ic025,ic975,signal_prr,signal_ror,signal_ebgm,signal_bcpnn,n_methods_signal,ror_pvalue,ror_fdr,signal_ror_fdr
DRUG INTERACTION,5,9.4340,1423,11992,1808849,0.5824,0.2528,1.3413,1.6527,0.5807,0.2513,1.3419,0.5533,0.2577,0.1253,-0.7790,-1.9847,0.4267,False,False,False,False,0,0.2034,0.2923,False
OVERDOSE,5,8.9887,1423,11426,1808849,0.6112,0.2654,1.4078,1.3637,0.6097,0.2639,1.4089,0.5804,0.2704,0.1235,-0.7093,-1.9150,0.4965,False,False,False,False,0,0.2469,0.3438,False
LETHARGY,4,3.1704,1423,4030,1808849,1.4185,0.5636,3.5702,0.0344,1.4198,0.5625,3.5840,1.3104,0.5593,0.0996,0.5046,-0.8284,1.8376,False,False,False,False,0,0.4581,0.5467,False
SLEEP DISORDER,4,6.2738,1423,7975,1808849,0.7165,0.2848,1.8029,0.5041,0.7156,0.2836,1.8059,0.6713,0.2861,0.1187,-0.4800,-1.8130,0.8530,False,False,False,False,0,0.4786,0.5622,False
INTESTINAL OBSTRUCTION,5,3.5928,1423,4567,1808849,1.5301,0.6641,3.5252,0.2298,1.5321,0.6628,3.5414,1.4311,0.6675,0.0973,0.6137,-0.5921,1.8194,False,False,False,False,0,0.3183,0.4243,False
NIGHT SWEATS,5,2.9713,1423,3777,1808849,1.8505,0.8031,4.2639,0.7887,1.8538,0.8019,4.2853,1.7209,0.8029,0.0937,0.8876,-0.3181,2.0934,False,False,False,False,0,0.1488,0.2319,False
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,5,16.6015,1423,21103,1808849,0.3309,0.1437,0.7620,7.5171,0.3283,0.1421,0.7585,0.3152,0.1467,0.1489,-1.5943,-2.8001,-0.3886,False,False,False,False,0,0.0091,0.0185,True
GAIT DISTURBANCE,5,11.4636,1423,14572,1808849,0.4792,0.2081,1.1037,3.1301,0.4772,0.2065,1.1026,0.4559,0.2122,0.1328,-1.0601,-2.2658,0.1456,False,False,False,False,0,0.0834,0.1418,False
DRY EYE,5,5.9757,1423,7596,1808849,0.9196,0.3992,2.1182,0.0381,0.9193,0.3978,2.1244,0.8691,0.4051,0.1100,-0.1203,-1.3260,1.0855,False,False,False,False,0,0.8438,0.8613,False
COMPLETED SUICIDE,5,3.0665,1423,3898,1808849,1.7930,0.7781,4.1313,0.6721,1.7960,0.7770,4.1518,1.6692,0.7788,0.0943,0.8421,-0.3636,2.0479,False,False,False,False,0,0.1708,0.2606,False
FEELING HOT,5,3.7171,1423,4725,1808849,1.4789,0.6419,3.4072,0.1655,1.4807,0.6406,3.4225,1.3844,0.6458,0.0980,0.5646,-0.6411,1.7703,False,False,False,False,0,0.3585,0.4574,False
MEMORY IMPAIRMENT,6,8.9069,1423,11322,1808849,0.7290,0.3385,1.5702,0.6550,0.7278,0.3367,1.5731,0.6969,0.3470,0.1168,-0.4551,-1.5642,0.6541,False,False,False,False,0,0.4191,0.5043,False
HEPATIC ENZYME INCREASED,5,6.0890,1423,7740,1808849,0.9025,0.3918,2.0788,0.0573,0.9021,0.3903,2.0847,0.8532,0.3977,0.1106,-0.1474,-1.3531,1.0584,False,False,False,False,0,0.8094,0.8422,False
