drug_a,drug_b,pt,a_cobenfy,n_cobenfy,pct_cobenfy,a_comparator,n_comparator,pct_comparator,ror,ror_lower95,ror_upper95,p_value,bonferroni_sig
xanomeline-trospium,quetiapine,METABOLIC SYNDROME,0,1758,0.0000,29,10869,0.2668,0.1045,0.0064,1.7109,0.1133,False
xanomeline-trospium,quetiapine,BLOOD GLUCOSE INCREASED,2,1758,0.1138,47,10869,0.4324,0.3243,0.0908,1.1580,0.0829,False
xanomeline-trospium,quetiapine,DYSLIPIDAEMIA,0,1758,0.0000,34,10869,0.3128,0.0893,0.0055,1.4573,0.0899,False
xanomeline-trospium,quetiapine,DYSTONIA,1,1758,0.0569,208,10869,1.9137,0.0436,0.0088,0.2177,0.0001,True
xanomeline-trospium,quetiapine,AKATHISIA,8,1758,0.4551,128,10869,1.1777,0.4059,0.2024,0.8141,0.0111,False
xanomeline-trospium,quetiapine,PARKINSONISM,2,1758,0.1138,256,10869,2.3553,0.0589,0.0169,0.2049,0.0000,True
xanomeline-trospium,quetiapine,TARDIVE DYSKINESIA,2,1758,0.1138,143,10869,1.3157,0.1064,0.0304,0.3718,0.0004,False
xanomeline-trospium,quetiapine,EXTRAPYRAMIDAL DISORDER,4,1758,0.2275,191,10869,1.7573,0.1430,0.0561,0.3647,0.0000,True
xanomeline-trospium,quetiapine,TREMOR,27,1758,1.5358,322,10869,2.9626,0.5194,0.3507,0.7692,0.0011,False
xanomeline-trospium,quetiapine,HYPERPROLACTINAEMIA,0,1758,0.0000,56,10869,0.5152,0.0544,0.0034,0.8812,0.0405,False
xanomeline-trospium,quetiapine,GALACTORRHOEA,0,1758,0.0000,26,10869,0.2392,0.1163,0.0071,1.9101,0.1319,False
xanomeline-trospium,quetiapine,AMENORRHOEA,0,1758,0.0000,16,10869,0.1472,0.1870,0.0112,3.1190,0.2429,False
xanomeline-trospium,quetiapine,SOMNOLENCE,42,1758,2.3891,642,10869,5.9067,0.3941,0.2877,0.5399,0.0000,True
xanomeline-trospium,quetiapine,SEDATION,13,1758,0.7395,213,10869,1.9597,0.3860,0.2222,0.6707,0.0007,False
xanomeline-trospium,quetiapine,ELECTROCARDIOGRAM QT PROLONGED,0,1758,0.0000,256,10869,2.3553,0.0118,0.0007,0.1887,0.0017,False
xanomeline-trospium,quetiapine,URINARY RETENTION,112,1758,6.3709,104,10869,0.9568,7.0390,5.3665,9.2327,0.0000,True
xanomeline-trospium,quetiapine,DRY MOUTH,45,1758,2.5597,305,10869,2.8061,0.9183,0.6697,1.2590,0.5964,False
xanomeline-trospium,quetiapine,VISION BLURRED,68,1758,3.8680,83,10869,0.7636,5.2344,3.7873,7.2345,0.0000,True
xanomeline-trospium,quetiapine,INSOMNIA,37,1758,2.1047,418,10869,3.8458,0.5440,0.3880,0.7628,0.0004,False
xanomeline-trospium,quetiapine,HEADACHE,35,1758,1.9909,789,10869,7.2592,0.2630,0.1872,0.3695,0.0000,True
xanomeline-trospium,quetiapine,DIZZINESS,79,1758,4.4937,589,10869,5.4191,0.8255,0.6495,1.0492,0.1170,False
xanomeline-trospium,lurasidone,NAUSEA,365,1758,20.7622,32,938,3.4115,7.3159,5.0615,10.5743,0.0000,True
xanomeline-trospium,lurasidone,VOMITING,297,1758,16.8942,27,938,2.8785,6.7470,4.5258,10.0585,0.0000,True
xanomeline-trospium,lurasidone,CONSTIPATION,134,1758,7.6223,19,938,2.0256,3.9041,2.4115,6.3205,0.0000,True
xanomeline-trospium,lurasidone,DYSPEPSIA,65,1758,3.6974,3,938,0.3198,10.3379,3.5168,30.3886,0.0000,True
xanomeline-trospium,lurasidone,DIARRHOEA,38,1758,2.1615,10,938,1.0661,1.9788,0.9955,3.9335,0.0515,False
xanomeline-trospium,lurasidone,TACHYCARDIA,24,1758,1.3652,19,938,2.0256,0.6661,0.3655,1.2138,0.1845,False
xanomeline-trospium,lurasidone,HYPERTENSION,25,1758,1.4221,15,938,1.5991,0.8764,0.4639,1.6560,0.6846,False
xanomeline-trospium,lurasidone,BLOOD PRESSURE INCREASED,21,1758,1.1945,7,938,0.7463,1.5369,0.6668,3.5422,0.3131,False
xanomeline-trospium,lurasidone,WEIGHT INCREASED,13,1758,0.7395,50,938,5.3305,0.1361,0.0742,0.2494,0.0000,True
xanomeline-trospium,lurasidone,HYPERGLYCAEMIA,0,1758,0.0000,4,938,0.4264,0.0590,0.0032,1.0979,0.0578,False
xanomeline-trospium,lurasidone,DIABETES MELLITUS,0,1758,0.0000,4,938,0.4264,0.0590,0.0032,1.0979,0.0578,False
xanomeline-trospium,lurasidone,METABOLIC SYNDROME,0,1758,0.0000,10,938,1.0661,0.0251,0.0015,0.4296,0.0110,False
xanomeline-trospium,lurasidone,BLOOD GLUCOSE INCREASED,2,1758,0.1138,36,938,3.8380,0.0352,0.0097,0.1271,0.0000,True
xanomeline-trospium,lurasidone,DYSLIPIDAEMIA,0,1758,0.0000,1,938,0.1066,0.1777,0.0072,4.3668,0.2902,False
xanomeline-trospium,lurasidone,DYSTONIA,1,1758,0.0569,42,938,4.4776,0.0180,0.0035,0.0919,0.0000,True
xanomeline-trospium,lurasidone,AKATHISIA,8,1758,0.4551,66,938,7.0362,0.0637,0.0311,0.1307,0.0000,True
xanomeline-trospium,lurasidone,PARKINSONISM,2,1758,0.1138,10,938,1.0661,0.1259,0.0316,0.5011,0.0033,False
xanomeline-trospium,lurasidone,TARDIVE DYSKINESIA,2,1758,0.1138,23,938,2.4520,0.0554,0.0150,0.2047,0.0000,True
xanomeline-trospium,lurasidone,EXTRAPYRAMIDAL DISORDER,4,1758,0.2275,31,938,3.3049,0.0739,0.0274,0.1991,0.0000,True
xanomeline-trospium,lurasidone,TREMOR,27,1758,1.5358,16,938,1.7058,0.8880,0.4798,1.6433,0.7052,False
xanomeline-trospium,lurasidone,HYPERPROLACTINAEMIA,0,1758,0.0000,7,938,0.7463,0.0353,0.0020,0.6190,0.0221,False
xanomeline-trospium,lurasidone,GALACTORRHOEA,0,1758,0.0000,1,938,0.1066,0.1777,0.0072,4.3668,0.2902,False
xanomeline-trospium,lurasidone,AMENORRHOEA,0,1758,0.0000,7,938,0.7463,0.0353,0.0020,0.6190,0.0221,False
xanomeline-trospium,lurasidone,SOMNOLENCE,42,1758,2.3891,32,938,3.4115,0.6906,0.4343,1.0981,0.1177,False
xanomeline-trospium,lurasidone,SEDATION,13,1758,0.7395,48,938,5.1173,0.1420,0.0773,0.2610,0.0000,True
xanomeline-trospium,lurasidone,ELECTROCARDIOGRAM QT PROLONGED,0,1758,0.0000,7,938,0.7463,0.0353,0.0020,0.6190,0.0221,False
xanomeline-trospium,lurasidone,URINARY RETENTION,112,1758,6.3709,48,938,5.1173,1.2545,0.8872,1.7739,0.1995,False
xanomeline-trospium,lurasidone,DRY MOUTH,45,1758,2.5597,12,938,1.2793,1.9682,1.0472,3.6991,0.0354,False
xanomeline-trospium,lurasidone,VISION BLURRED,68,1758,3.8680,4,938,0.4264,8.4148,3.2311,21.9145,0.0000,True
xanomeline-trospium,lurasidone,INSOMNIA,37,1758,2.1047,30,938,3.1983,0.6489,0.3997,1.0535,0.0802,False
xanomeline-trospium,lurasidone,HEADACHE,35,1758,1.9909,13,938,1.3859,1.4121,0.7507,2.6561,0.2844,False
xanomeline-trospium,lurasidone,DIZZINESS,79,1758,4.4937,15,938,1.5991,2.8203,1.6270,4.8888,0.0002,True
xanomeline-trospium,brexpiprazole,NAUSEA,365,1758,20.7622,13,1598,0.8135,30.8044,17.8090,53.2827,0.0000,True
xanomeline-trospium,brexpiprazole,VOMITING,297,1758,16.8942,14,1598,0.8761,22.2440,13.0682,37.8624,0.0000,True
xanomeline-trospium,brexpiprazole,CONSTIPATION,134,1758,7.6223,4,1598,0.2503,29.3369,11.4390,75.2388,0.0000,True
xanomeline-trospium,brexpiprazole,DYSPEPSIA,65,1758,3.6974,1,1598,0.0626,41.1913,8.1517,208.1428,0.0000,True
xanomeline-trospium,brexpiprazole,DIARRHOEA,38,1758,2.1615,14,1598,0.8761,2.4453,1.3316,4.4903,0.0039,False
xanomeline-trospium,brexpiprazole,TACHYCARDIA,24,1758,1.3652,7,1598,0.4380,2.9973,1.3191,6.8106,0.0088,False
xanomeline-trospium,brexpiprazole,HYPERTENSION,25,1758,1.4221,8,1598,0.5006,2.7525,1.2627,6.0001,0.0109,False
xanomeline-trospium,brexpiprazole,BLOOD PRESSURE INCREASED,21,1758,1.1945,8,1598,0.5006,2.3154,1.0435,5.1378,0.0390,False
xanomeline-trospium,brexpiprazole,WEIGHT INCREASED,13,1758,0.7395,45,1598,2.8160,0.2641,0.1433,0.4866,0.0000,True
xanomeline-trospium,brexpiprazole,HYPERGLYCAEMIA,0,1758,0.0000,1,1598,0.0626,0.3028,0.0123,7.4391,0.4645,False
