pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
MALAISE,15,18087,1737,1432164,1722,18072,1412355,21.9368,0.7059,0.4299,1.1590,1.9152,0.7032,0.4264,1.1598,-0.5015,-1.2198,0.2167,False,False,False,0
ILLNESS,12,22958,1737,1432164,1725,22946,1407481,27.8446,0.4483,0.2580,0.7791,8.6043,0.4443,0.2547,0.7752,-1.1559,-1.9557,-0.3561,False,False,False,0
OFF LABEL USE,115,88434,1737,1432164,1622,88319,1342108,107.2572,1.0763,0.9023,1.2839,0.5219,1.0818,0.8956,1.3066,0.1064,-0.1567,0.3695,False,False,False,0
DEATH,10,44479,1737,1432164,1727,44469,1385958,53.9464,0.1943,0.1063,0.3552,36.1554,0.1894,0.1033,0.3475,-2.3616,-3.2342,-1.4889,False,False,False,0
DEPRESSION,11,9821,1737,1432164,1726,9810,1420617,11.9114,0.9648,0.5421,1.7169,0.0143,0.9645,0.5399,1.7231,-0.0512,-0.8850,0.7826,False,False,False,0
DEHYDRATION,11,7580,1737,1432164,1726,7569,1422858,9.1934,1.2504,0.7026,2.2254,0.1869,1.2521,0.7008,2.2370,0.3225,-0.5114,1.1563,False,False,False,0
HEADACHE,35,40888,1737,1432164,1702,40853,1389574,49.5910,0.7152,0.5164,0.9905,4.1266,0.7092,0.5086,0.9890,-0.4827,-0.9573,-0.0081,False,False,False,0
AGGRESSION,11,1497,1737,1432164,1726,1486,1428941,1.8156,6.3672,3.5711,11.3527,41.6321,6.4030,3.5774,11.4602,2.6622,1.8284,3.4960,True,True,True,3
DYSURIA,20,1724,1737,1432164,1717,1704,1428723,2.0910,9.8986,6.4202,15.2615,145.2967,10.0048,6.4560,15.5043,3.2926,2.6680,3.9171,True,True,True,3
ADVERSE EVENT,34,6550,1737,1432164,1703,6516,1423911,7.9442,4.3573,3.1287,6.0685,82.6893,4.4253,3.1563,6.2045,2.1181,1.6367,2.5995,True,True,True,3
DYSARTHRIA,3,1258,1737,1432164,1734,1255,1429172,1.5258,2.2944,0.8044,6.5439,0.6234,2.2970,0.8037,6.5652,1.1968,-0.3146,2.7083,False,False,False,0
PRODUCT AVAILABILITY ISSUE,4,3503,1737,1432164,1733,3499,1426928,4.2486,1.0583,0.4204,2.6646,0.0149,1.0585,0.4194,2.6714,0.0823,-1.2507,1.4153,False,False,False,0
ANGIOEDEMA,8,1414,1737,1432164,1729,1406,1429021,1.7150,4.9739,2.5384,9.7460,19.5574,4.9934,2.5400,9.8165,2.3084,1.3385,3.2782,True,True,True,3
PAIN,3,36277,1737,1432164,1734,36274,1394153,43.9986,0.0794,0.0279,0.2262,38.2922,0.0776,0.0272,0.2213,-3.6525,-5.1639,-2.1410,False,False,False,0
MUSCLE SPASMS,3,11277,1737,1432164,1734,11274,1419153,13.6773,0.2555,0.0897,0.7278,7.6423,0.2540,0.0890,0.7250,-1.9668,-3.4783,-0.4554,False,False,False,0
DRUG INTOLERANCE,8,5149,1737,1432164,1729,5141,1425286,6.2450,1.3606,0.6954,2.6622,0.2534,1.3624,0.6940,2.6744,0.4442,-0.5257,1.4141,False,False,False,0
DISCOMFORT,3,5160,1737,1432164,1734,5157,1425270,6.2583,0.5585,0.1960,1.5912,1.2216,0.5576,0.1953,1.5921,-0.8390,-2.3504,0.6725,False,False,False,0
INSURANCE ISSUE,3,4672,1737,1432164,1734,4669,1425758,5.6664,0.6169,0.2165,1.7576,0.8320,0.6161,0.2158,1.7591,-0.6957,-2.2071,0.8158,False,False,False,0
DYSPEPSIA,65,6702,1737,1432164,1672,6637,1423790,8.1285,8.1218,6.3966,10.3123,393.2525,8.4007,6.5553,10.7657,3.0099,2.6605,3.3593,True,True,True,3
PSYCHIATRIC DECOMPENSATION,4,38,1737,1432164,1733,34,1430393,0.0461,107.3519,40.2405,286.3885,259.1614,107.6280,40.2531,287.7734,6.5901,5.2571,7.9231,True,True,True,3
TREATMENT NONCOMPLIANCE,43,4502,1737,1432164,1694,4459,1425968,5.4603,8.0282,5.9779,10.7817,252.3585,8.2086,6.0666,11.1071,2.9934,2.5647,3.4221,True,True,True,3
CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,3,3155,1737,1432164,1734,3152,1427275,3.8265,0.9138,0.3207,2.6039,0.0280,0.9136,0.3199,2.6089,-0.1293,-1.6408,1.3821,False,False,False,0
DYSKINESIA,10,1565,1737,1432164,1727,1555,1428872,1.8981,5.5557,3.0336,10.1746,30.5157,5.5833,3.0375,10.2628,2.4669,1.5942,3.3395,True,True,True,3
THERAPEUTIC RESPONSE DECREASED,4,5318,1737,1432164,1733,5314,1425113,6.4499,0.6969,0.2769,1.7542,0.5924,0.6961,0.2759,1.7564,-0.5199,-1.8529,0.8131,False,False,False,0
URINARY RETENTION,109,1471,1737,1432164,1628,1362,1429065,1.7841,66.1445,54.7581,79.8986,6397.5231,70.5248,57.7028,86.1960,5.9387,5.6685,6.2089,True,True,True,3
HAEMATOCHEZIA,3,2104,1737,1432164,1734,2101,1428326,2.5518,1.3707,0.4809,3.9072,0.0011,1.3715,0.4801,3.9176,0.4551,-1.0564,1.9665,False,False,False,0
URINARY INCONTINENCE,8,1294,1737,1432164,1729,1286,1429141,1.5694,5.4378,2.7747,10.6571,22.4580,5.4596,2.7766,10.7351,2.4363,1.4664,3.4061,True,True,True,3
SUICIDAL IDEATION,17,3627,1737,1432164,1720,3610,1426817,4.3990,3.9892,2.5000,6.3655,33.4130,4.0196,2.5072,6.4445,1.9915,1.3156,2.6674,True,True,True,3
PHARYNGEAL SWELLING,3,1217,1737,1432164,1734,1214,1429213,1.4760,2.3718,0.8316,6.7652,0.7118,2.3746,0.8308,6.7874,1.2446,-0.2668,2.7561,False,False,False,0
SCHIZOPHRENIA,12,279,1737,1432164,1725,267,1430160,0.3384,38.4594,21.8539,67.6823,368.6841,38.7308,21.9221,68.4273,5.2041,4.4043,6.0039,True,True,True,3
