pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
CONDITION AGGRAVATED,16,46524,1749,2154081,1733,46508,2105824,37.7750,0.4363,0.2699,0.7054,12.2566,0.4310,0.2654,0.6999,-1.1954,-1.8915,-0.4993,False,False,False,0
PRODUCT STORAGE ERROR,4,17235,1749,2154081,1745,17231,2135101,13.9939,0.3212,0.1276,0.8083,6.4982,0.3194,0.1266,0.8058,-1.6373,-2.9702,-0.3043,False,False,False,0
MUSCULAR WEAKNESS,8,11182,1749,2154081,1741,11174,2141158,9.0792,0.9355,0.4783,1.8299,0.0372,0.9352,0.4766,1.8353,-0.0956,-1.0655,0.8743,False,False,False,0
HALLUCINATION,21,9007,1749,2154081,1728,8986,2143346,7.3132,2.9425,1.9322,4.4811,23.8970,2.9667,1.9379,4.5416,1.5553,0.9454,2.1651,True,True,True,3
PSYCHOTIC DISORDER,33,2647,1749,2154081,1716,2614,2149718,2.1492,15.7590,11.2442,22.0866,429.4817,16.0470,11.3754,22.6371,3.9616,3.4730,4.4501,True,True,True,3
IMPAIRED GASTRIC EMPTYING,3,4476,1749,2154081,1746,4473,2147859,3.6343,0.9623,0.3377,2.7416,0.0050,0.9622,0.3370,2.7472,-0.0549,-1.5663,1.4566,False,False,False,0
MENTAL DISORDER,5,4149,1749,2154081,1744,4144,2148188,3.3688,1.6322,0.7082,3.7618,0.3809,1.6342,0.7072,3.7763,0.7066,-0.4991,1.9124,False,False,False,0
"HALLUCINATION, VISUAL",12,2576,1749,2154081,1737,2564,2149768,2.0916,5.9949,3.4458,10.4295,42.4065,6.0308,3.4527,10.5338,2.5786,1.7788,3.3784,True,True,True,3
THINKING ABNORMAL,6,1160,1749,2154081,1743,1154,2151178,0.9419,6.9245,3.2077,14.9481,22.0890,6.9466,3.2088,15.0386,2.7858,1.6767,3.8949,True,True,True,3
LOSS OF THERAPEUTIC RESPONSE,3,1133,1749,2154081,1746,1130,2151202,0.9199,3.8078,1.3348,10.8621,2.7175,3.8134,1.3340,10.9009,1.9267,0.4152,3.4382,False,True,True,2
ORTHOSTATIC HYPOTENSION,3,1491,1749,2154081,1746,1488,2150844,1.2106,2.8919,1.0142,8.2464,1.3754,2.8957,1.0134,8.2746,1.5307,0.0193,3.0422,False,True,True,2
VIOLENCE-RELATED SYMPTOM,3,69,1749,2154081,1746,66,2152266,0.0560,64.7318,22.1181,189.4473,106.7047,64.8595,22.1164,190.2099,5.9543,4.4429,7.4658,True,True,True,3
MALAISE,15,38442,1749,2154081,1734,38427,2113905,31.2129,0.4961,0.3022,0.8144,8.0603,0.4916,0.2981,0.8106,-1.0103,-1.7285,-0.2921,False,False,False,0
DEATH,10,80172,1749,2154081,1739,80162,2072170,65.0954,0.1611,0.0881,0.2944,47.5978,0.1560,0.0851,0.2862,-2.6326,-3.5052,-1.7599,False,False,False,0
OFF LABEL USE,118,156851,1749,2154081,1631,156733,1995599,127.3547,0.9299,0.7814,1.1065,0.6645,0.9248,0.7674,1.1144,-0.1044,-0.3641,0.1554,False,False,False,0
DYSARTHRIA,3,3151,1749,2154081,1746,3148,2149184,2.5584,1.3672,0.4798,3.8961,0.0013,1.3679,0.4790,3.9064,0.4514,-1.0600,1.9629,False,False,False,0
HEADACHE,35,62156,1749,2154081,1714,62121,2090211,50.4674,0.7028,0.5075,0.9734,4.5746,0.6967,0.4996,0.9714,-0.5080,-0.9825,-0.0334,False,False,False,0
ILLNESS,11,28812,1749,2154081,1738,28801,2123531,23.3938,0.4911,0.2760,0.8738,6.1340,0.4877,0.2731,0.8711,-1.0249,-1.8588,-0.1911,False,False,False,0
DEPRESSION,12,16780,1749,2154081,1737,16768,2135564,13.6245,0.9168,0.5276,1.5932,0.0936,0.9162,0.5252,1.5985,-0.1247,-0.9245,0.6751,False,False,False,0
PRODUCT AVAILABILITY ISSUE,4,5833,1749,2154081,1745,5829,2146503,4.7361,0.9494,0.3772,2.3898,0.0118,0.9493,0.3762,2.3951,-0.0743,-1.4073,1.2587,False,False,False,0
ANGIOEDEMA,8,4431,1749,2154081,1741,4423,2147909,3.5977,2.3633,1.2078,4.6244,4.2447,2.3700,1.2072,4.6527,1.2398,0.2699,2.2097,True,True,True,3
DEHYDRATION,11,11581,1749,2154081,1738,11570,2140762,9.4032,1.2224,0.6869,2.1753,0.1287,1.2239,0.6851,2.1863,0.2899,-0.5439,1.1238,False,False,False,0
DYSURIA,20,3270,1749,2154081,1729,3250,2149082,2.6551,7.7567,5.0371,11.9445,107.1212,7.8368,5.0633,12.1294,2.9482,2.3236,3.5727,True,True,True,3
ADVERSE EVENT,34,8638,1749,2154081,1715,8604,2143728,7.0136,4.9313,3.5415,6.8666,100.5085,5.0104,3.5745,7.0231,2.2979,1.8165,2.7793,True,True,True,3
AGGRESSION,11,3645,1749,2154081,1738,3634,2148698,2.9595,3.8916,2.1855,6.9296,19.2601,3.9107,2.1879,6.9902,1.9576,1.1237,2.7914,True,True,True,3
DIARRHOEA,38,73678,1749,2154081,1711,73640,2078692,59.8226,0.6430,0.4704,0.8789,7.8756,0.6350,0.4613,0.8740,-0.6363,-1.0920,-0.1805,False,False,False,0
DIZZINESS,78,48732,1749,2154081,1671,48654,2103678,39.5678,1.9843,1.5983,2.4637,37.2361,2.0306,1.6190,2.5468,0.9879,0.6688,1.3071,False,True,True,2
HYPERSOMNIA,8,2900,1749,2154081,1741,2892,2149440,2.3546,3.6142,1.8464,7.0746,11.2679,3.6270,1.8469,7.1228,1.8513,0.8814,2.8212,True,True,True,3
SLEEP DISORDER,7,9376,1749,2154081,1742,9369,2142963,7.6128,0.9845,0.4819,2.0114,0.0017,0.9844,0.4804,2.0174,-0.0220,-1.0546,1.0105,False,False,False,0
LETHARGY,5,4723,1749,2154081,1744,4718,2147614,3.8348,1.4336,0.6221,3.3039,0.1157,1.4350,0.6210,3.3158,0.5197,-0.6860,1.7254,False,False,False,0
COLD SWEAT,8,1528,1749,2154081,1741,1520,2150812,1.2407,6.8755,3.5094,13.4702,31.6277,6.9042,3.5125,13.5707,2.7755,1.8056,3.7454,True,True,True,3
VERTIGO,5,5473,1749,2154081,1744,5468,2146864,4.4438,1.2370,0.5368,2.8506,0.0007,1.2377,0.5357,2.8598,0.3071,-0.8986,1.5128,False,False,False,0
RETCHING,6,2211,1749,2154081,1743,2205,2150127,1.7952,3.6247,1.6809,7.8167,7.6596,3.6345,1.6806,7.8603,1.8555,0.7464,2.9647,True,True,True,3
IRRITABILITY,8,4383,1749,2154081,1741,4375,2147957,3.5588,2.3893,1.2210,4.6752,4.3773,2.3960,1.2205,4.7039,1.2555,0.2856,2.2254,True,True,True,3
PRODUCT DISTRIBUTION ISSUE,3,3576,1749,2154081,1746,3573,2148759,2.9035,1.2046,0.4227,3.4325,0.0562,1.2050,0.4220,3.4409,0.2689,-1.2425,1.7804,False,False,False,0
SCHIZOAFFECTIVE DISORDER,3,180,1749,2154081,1746,177,2152155,0.1462,24.2516,8.4282,69.7828,37.9443,24.2982,8.4268,70.0624,4.5774,3.0660,6.0889,True,True,True,3
HYPOTENSION,3,18614,1749,2154081,1746,18611,2133721,15.1136,0.2313,0.0812,0.6588,9.0092,0.2298,0.0805,0.6558,-2.1109,-3.6223,-0.5994,False,False,False,0
FALL,3,33546,1749,2154081,1746,33543,2118789,27.2376,0.1283,0.0451,0.3655,21.0317,0.1266,0.0444,0.3613,-2.9606,-4.4721,-1.4491,False,False,False,0
CHEST PAIN,22,15572,1749,2154081,1727,15550,2136782,12.6436,1.7795,1.1800,2.6837,6.2538,1.7897,1.1804,2.7135,0.8311,0.2349,1.4272,False,True,True,2
DRY MOUTH,45,8812,1749,2154081,1704,8767,2143565,7.1549,6.3827,4.7878,8.5090,195.8838,6.5264,4.8583,8.7673,2.6684,2.2492,3.0876,True,True,True,3
ASTHENIA,12,37338,1749,2154081,1737,37326,2115006,30.3165,0.4119,0.2370,0.7157,10.6638,0.4076,0.2337,0.7111,-1.2786,-2.0784,-0.4788,False,False,False,0
CONFUSIONAL STATE,16,14529,1749,2154081,1733,14513,2137819,11.7968,1.3982,0.8648,2.2608,1.1714,1.4020,0.8632,2.2773,0.4836,-0.2125,1.1797,False,False,False,0
DISTURBANCE IN ATTENTION,6,3877,1749,2154081,1743,3871,2148461,3.1479,2.0649,0.9580,4.4508,1.7620,2.0689,0.9571,4.4722,1.0454,-0.0637,2.1545,False,False,False,0
DELUSION,8,1670,1749,2154081,1741,1662,2150670,1.3560,6.2882,3.2102,12.3177,27.8840,6.3140,3.2128,12.4088,2.6473,1.6774,3.6172,True,True,True,3
FEELING OF BODY TEMPERATURE CHANGE,3,582,1749,2154081,1746,579,2151753,0.4726,7.4282,2.6000,21.2226,8.7080,7.4411,2.5991,21.3039,2.8872,1.3757,4.3986,True,True,True,3
